# eps_11 eps_22 force(N)
0.000000000000000000e+00 , 0.000000000000000000e+00 , 0.000000000000000000e+00
1.195516811955168015e-03 , 0.000000000000000000e+00 , 9.336600000000000364e+03
2.391033623910336029e-03 , 0.000000000000000000e+00 , 1.785420000000000073e+04
3.427148194271481367e-03 , 0.000000000000000000e+00 , 2.588040000000000146e+04
4.303860523038605113e-03 , 0.000000000000000000e+00 , 3.226860000000000218e+04
5.200498132004981178e-03 , 0.000000000000000000e+00 , 3.974879999999999563e+04
6.136986301369861882e-03 , 0.000000000000000000e+00 , 4.717440000000000146e+04
7.013698630136986495e-03 , 0.000000000000000000e+00 , 5.465459999999999854e+04
8.009962640099626760e-03 , 0.000000000000000000e+00 , 6.317220000000000437e+04
8.926525529265254277e-03 , 0.000000000000000000e+00 , 7.065240000000000873e+04
9.723536737235366142e-03 , 0.000000000000000000e+00 , 7.704059999999999127e+04
1.071980074719800641e-02 , 0.000000000000000000e+00 , 8.555820000000001164e+04
1.157658779576587783e-02 , 0.000000000000000000e+00 , 9.331140000000000873e+04
1.221419676214196594e-02 , 0.000000000000000000e+00 , 9.893520000000001164e+04
1.299128268991282635e-02 , 0.000000000000000000e+00 , 1.060878000000000029e+05
1.352926525529265372e-02 , 0.000000000000000000e+00 , 1.111656000000000058e+05
1.400747198007471980e-02 , 0.000000000000000000e+00 , 1.154244000000000087e+05
